                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.8513,                 6.2063,                 4.2068,                      0,                      0,                      0,                      0,                 7.0476,                 5.3857,                 4.1565,             0.00013336,             0.00013336,             0.00013336
                      2,                 6.8226,                 5.2535,                 3.9893,                      0,                      0,                      0,                      0,                 7.0453,                 5.2814,                 4.1352,             0.00028058,             0.00028058,             0.00028058
                      3,                 6.6941,                 4.5471,                  3.641,                      0,                      0,                      0,                      0,                 7.0441,                 4.7853,                 4.1273,             0.00042484,             0.00042484,             0.00042484
                      4,                 6.2831,                 4.1634,                 3.4926,                      0,                      0,                      0,                      0,                 7.0511,                 4.8482,                 4.1953,             0.00056612,             0.00056612,             0.00056612
                      5,                 5.3118,                 3.5214,                 3.2466,                      0,                      0,                      0,                      0,                 7.0612,                 5.0623,                 4.3103,             0.00070443,             0.00070443,             0.00070443
                      6,                 4.4916,                 3.0254,                 2.6373,                      0,                      0,                      0,                      0,                 7.0804,                 5.3876,                 4.5133,             0.00083978,             0.00083978,             0.00083978
                      7,                 4.4015,                 2.9999,                 2.4538,                      0,                      0,                      0,                      0,                 7.0869,                 5.2633,                 4.5857,             0.00097215,             0.00097215,             0.00097215
                      8,                 4.1338,                 2.7987,                 2.2092,                      0,                      0,                      0,                      0,                  7.101,                 5.9676,                 4.7473,              0.0011015,              0.0011015,              0.0011015
                      9,                 4.0367,                  2.692,                 2.0833,                      0,                      0,                      0,                      0,                 7.1046,                 6.1589,                  4.775,               0.001228,               0.001228,               0.001228
                     10,                 3.7386,                 2.5697,                 1.9711,                      0,                      0,                      0,                      0,                 6.7593,                 7.3392,                 5.0116,              0.0013514,              0.0013514,              0.0013514
                     11,                 3.6189,                  2.503,                 1.8763,                      0,                      0,                      0,                      0,                 5.3986,                  11.09,                 4.8505,              0.0014719,              0.0014719,              0.0014719
                     12,                 3.4756,                 2.4436,                 1.7801,                      0,                      0,                      0,                      0,                 5.5431,                 9.0824,                 4.6346,              0.0014855,              0.0014855,              0.0014855
                     13,                 3.3933,                 2.4477,                 1.8068,                0.00258,                0.00816,                0.00173,                 0.0005,                 5.2593,                 5.3407,                  3.305,              0.0014855,              0.0014855,              0.0014855
                     14,                 3.3582,                 2.3815,                 1.8004,                0.02544,                0.00382,                0.00254,                0.00066,                  5.558,                 4.4128,                 3.1458,               0.001469,               0.001469,               0.001469
                     15,                  3.154,                 2.3123,                 1.7226,                0.02883,                0.02971,                0.00658,                0.00238,                 4.5426,                 4.5947,                 2.3597,              0.0014525,              0.0014525,              0.0014525
                     16,                 3.4573,                 2.3564,                 1.7032,                0.10344,                0.09621,                0.03948,                 0.0137,                 3.4367,                 2.6003,                  1.816,               0.001436,               0.001436,               0.001436
                     17,                 3.1164,                 2.2694,                 1.6097,                0.10661,                0.19321,                0.07004,                 0.0246,                   3.21,                 2.3624,                  1.703,              0.0014195,              0.0014195,              0.0014195
                     18,                 2.8873,                 2.1579,                 1.5445,                0.61923,                0.14744,                0.11962,                0.04125,                 3.0075,                 2.4095,                 1.6358,              0.0014029,              0.0014029,              0.0014029
                     19,                 2.8666,                 2.1127,                 1.5384,                0.62077,                0.12036,                0.12791,                0.04672,                 2.7555,                 2.3564,                 1.5431,              0.0013864,              0.0013864,              0.0013864
                     20,                 2.8836,                 2.1106,                 1.4925,                0.69051,                0.18405,                0.21889,                0.08131,                 2.6421,                 2.0949,                 1.4498,              0.0013699,              0.0013699,              0.0013699
                     21,                 2.8833,                 2.0847,                 1.5103,                0.71797,                0.19535,                0.25374,                0.09689,                 2.5525,                  1.952,                 1.4409,              0.0013534,              0.0013534,              0.0013534
                     22,                    2.7,                  2.016,                 1.4747,                 0.3007,                0.37782,                0.29069,                0.11765,                  2.447,                 1.8117,                 1.3962,              0.0013369,              0.0013369,              0.0013369
                     23,                 2.7313,                 2.0535,                 1.4853,                0.26785,                 0.3582,                0.28489,                 0.1125,                 2.4384,                 1.8435,                 1.4059,              0.0013204,              0.0013204,              0.0013204
                     24,                 2.6871,                  1.962,                 1.4583,                0.74886,                0.26931,                0.33661,                0.12555,                 2.4618,                 1.9255,                 1.3726,              0.0013039,              0.0013039,              0.0013039
                     25,                 2.6338,                 1.9163,                 1.4215,                0.34997,                0.43136,                0.36154,                0.13689,                 2.4182,                 1.8277,                 1.3798,              0.0012874,              0.0012874,              0.0012874
                     26,                 2.5642,                 1.8969,                 1.4401,                0.35929,                0.35172,                0.28002,                0.11883,                 2.3863,                 2.0493,                 1.3702,              0.0012709,              0.0012709,              0.0012709
                     27,                 2.4646,                  1.899,                 1.3841,                0.41851,                0.42075,                0.36565,                0.14998,                 2.2796,                 1.8189,                 1.3243,              0.0012544,              0.0012544,              0.0012544
                     28,                  2.458,                  1.831,                 1.3554,                  0.439,                0.49154,                 0.4197,                0.17861,                 2.2308,                 1.5793,                 1.3108,              0.0012379,              0.0012379,              0.0012379
                     29,                 2.4731,                 1.7432,                 1.3312,                0.43458,                0.46778,                0.39414,                0.14266,                 2.3054,                 1.6111,                 1.3302,              0.0012214,              0.0012214,              0.0012214
                     30,                 2.3888,                 1.7959,                 1.3325,                0.44045,                0.44693,                0.40751,                0.17606,                 2.1542,                 1.5985,                 1.2716,              0.0012049,              0.0012049,              0.0012049
                     31,                  2.355,                 1.7029,                 1.2912,                0.43259,                0.48051,                0.43721,                0.17907,                 2.1837,                 1.5536,                 1.2726,              0.0011884,              0.0011884,              0.0011884
                     32,                 2.3301,                 1.6804,                 1.3409,                0.45509,                0.51033,                0.41197,                0.15503,                 2.5399,                 1.6095,                 1.3483,              0.0011719,              0.0011719,              0.0011719
                     33,                 2.3672,                 1.7079,                 1.3317,                  0.488,                0.55052,                0.46188,                0.19769,                  2.089,                 1.5445,                 1.2287,              0.0011554,              0.0011554,              0.0011554
                     34,                 2.1492,                 1.5395,                 1.3112,                 0.4998,                0.53718,                0.45042,                0.20357,                 2.2024,                 1.5857,                 1.2516,              0.0011389,              0.0011389,              0.0011389
                     35,                 2.1751,                 1.6324,                 1.3305,                0.49542,                0.50904,                0.41195,                0.17602,                 2.4154,                  1.617,                 1.3231,              0.0011224,              0.0011224,              0.0011224
                     36,                 2.3561,                 1.6212,                 1.2752,                0.38777,                0.52954,                 0.4277,                0.16357,                 2.2514,                 1.5272,                  1.264,              0.0011059,              0.0011059,              0.0011059
                     37,                 2.1527,                 1.5239,                 1.2896,                0.40219,                0.57685,                0.47658,                0.21399,                 1.9864,                  1.434,                 1.1824,              0.0010894,              0.0010894,              0.0010894
                     38,                 2.2222,                  1.544,                 1.2695,                0.52339,                0.60678,                0.50928,                0.23206,                 1.9683,                 1.4104,                 1.1744,              0.0010729,              0.0010729,              0.0010729
                     39,                 2.1372,                 1.5508,                 1.2128,                0.39196,                0.54119,                0.35479,                0.16312,                 1.9741,                 1.7764,                 1.1738,              0.0010564,              0.0010564,              0.0010564
                     40,                 2.1329,                 1.5149,                 1.2552,                0.47079,                0.59715,                0.44688,                0.19549,                 2.0084,                 1.4117,                 1.1946,              0.0010399,              0.0010399,              0.0010399
                     41,                 2.1555,                 1.4754,                 1.2265,                0.49859,                0.60243,                0.52057,                0.22697,                 1.9799,                 1.3526,                 1.1836,              0.0010234,              0.0010234,              0.0010234
                     42,                 2.1164,                 1.4384,                 1.2303,                 0.5325,                0.62682,                0.53314,                0.24531,                  1.963,                 1.2884,                 1.1784,              0.0010069,              0.0010069,              0.0010069
                     43,                 2.1207,                 1.4793,                 1.2354,                0.51778,                0.61004,                0.52613,                0.23953,                 1.9883,                 1.2958,                 1.1973,             0.00099036,             0.00099036,             0.00099036
                     44,                  2.105,                 1.4675,                   1.28,                0.46403,                0.56344,                0.47464,                0.19085,                 2.0389,                 1.3882,                 1.2182,             0.00097386,             0.00097386,             0.00097386
                     45,                 2.1539,                 1.5138,                 1.2288,                0.49764,                0.60368,                0.49151,                0.21288,                 1.9875,                 1.4204,                 1.1969,             0.00095736,             0.00095736,             0.00095736
                     46,                  2.084,                 1.4647,                 1.2214,                0.54276,                 0.6483,                0.56496,                0.26574,                   1.92,                 1.3437,                 1.1647,             0.00094085,             0.00094085,             0.00094085
                     47,                 2.0236,                 1.4204,                 1.2431,                0.52431,                0.64579,                0.56141,                0.26004,                 1.8995,                 1.3733,                 1.1641,             0.00092435,             0.00092435,             0.00092435
                     48,                 2.0742,                 1.4103,                 1.1991,                0.51542,                0.61038,                0.52807,                 0.2389,                 1.9281,                 1.3759,                 1.1728,             0.00090785,             0.00090785,             0.00090785
                     49,                 2.0809,                 1.4149,                 1.1975,                0.53325,                0.64435,                0.54747,                0.25542,                  1.864,                 1.3147,                 1.1521,             0.00089134,             0.00089134,             0.00089134
                     50,                  2.032,                 1.3625,                 1.1926,                 0.5141,                0.64467,                0.53562,                0.24894,                 1.8971,                 1.3372,                 1.1561,             0.00087484,             0.00087484,             0.00087484
                     51,                 2.0388,                 1.3963,                 1.2105,                0.56186,                0.68793,                 0.5937,                0.27604,                 1.9001,                  1.227,                  1.153,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.9802,                 1.3829,                 1.1821,                0.53858,                 0.6906,                0.59192,                0.27599,                 1.8831,                 1.2468,                 1.1545,             0.00084184,             0.00084184,             0.00084184
                     53,                 2.0148,                 1.3965,                 1.1823,                0.51185,                0.66098,                0.55592,                0.25189,                 1.9122,                 1.2522,                 1.1685,             0.00082533,             0.00082533,             0.00082533
                     54,                 2.0336,                 1.3942,                 1.1649,                0.50901,                0.62938,                0.52469,                 0.2293,                 1.9892,                 1.3275,                  1.192,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.9467,                 1.3613,                 1.1777,                0.54374,                0.67224,                0.56476,                0.26127,                 1.9178,                  1.306,                 1.1637,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.9725,                 1.3672,                 1.1881,                0.54969,                0.68925,                0.58579,                0.27179,                 1.8948,                 1.2342,                  1.151,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.9632,                 1.3159,                 1.1849,                 0.5511,                0.64747,                0.56923,                0.25014,                 1.8951,                 1.2761,                 1.1526,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.9468,                 1.3862,                 1.1821,                0.51444,                0.63548,                0.54196,                 0.2468,                 1.8782,                 1.3432,                 1.1467,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.8932,                  1.343,                  1.185,                0.55379,                0.67516,                0.59783,                0.28965,                 1.8232,                 1.2172,                 1.1284,             0.00072631,             0.00072631,             0.00072631
                     60,                 1.9166,                 1.2903,                 1.1592,                 0.5436,                0.69107,                0.60014,                0.28417,                 1.8569,                 1.1973,                 1.1386,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.8916,                   1.34,                 1.1499,                0.53436,                0.68345,                0.58304,                0.27314,                 1.8832,                 1.2519,                  1.143,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.9009,                 1.3154,                 1.1561,                0.53402,                0.66798,                  0.567,                 0.2744,                 1.8458,                 1.2676,                 1.1322,              0.0006768,              0.0006768,              0.0006768
                     63,                  1.884,                 1.2906,                 1.1344,                0.51152,                0.64961,                0.54779,                0.23854,                 1.9855,                  1.278,                 1.1783,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.9367,                  1.351,                 1.1821,                0.56313,                0.66856,                0.58448,                0.27642,                 1.8251,                 1.2289,                 1.1363,              0.0006438,              0.0006438,              0.0006438
                     65,                 1.9026,                 1.2941,                 1.1681,                0.55757,                0.65997,                0.57584,                0.27567,                  1.834,                 1.2418,                 1.1343,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.8181,                 1.2635,                  1.136,                0.55109,                0.68346,                0.58944,                0.28201,                 1.8441,                 1.2153,                 1.1326,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.9161,                 1.3518,                 1.1681,                 0.5448,                0.68799,                0.59321,                0.28463,                  1.818,                 1.2167,                 1.1243,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.9078,                 1.3065,                 1.1472,                0.49455,                 0.6633,                0.53769,                0.23173,                 1.9421,                 1.2525,                 1.1684,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.8491,                 1.2727,                 1.1244,                0.53051,                0.67776,                0.57542,                0.26882,                 1.8794,                 1.2133,                 1.1469,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.9175,                 1.2642,                 1.1402,                0.57349,                0.68392,                0.60025,                0.29191,                 1.8259,                  1.187,                 1.1231,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.8798,                  1.266,                 1.1118,                0.57832,                0.68852,                0.60538,                0.29001,                  1.823,                 1.1771,                 1.1252,             0.00052827,             0.00052827,             0.00052827
                     72,                 1.8906,                 1.2995,                 1.1611,                0.47296,                0.65044,                0.50431,                0.21449,                 1.9304,                 1.2555,                 1.1538,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.8983,                 1.2919,                 1.1577,                0.50234,                0.68929,                0.56276,                0.25839,                 1.8817,                 1.2061,                 1.1425,             0.00049527,             0.00049527,             0.00049527
                     74,                 1.8912,                 1.2779,                 1.1272,                0.53784,                0.69869,                0.59481,                0.28619,                  1.837,                 1.1827,                 1.1321,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.9258,                 1.3115,                 1.1303,                0.55177,                0.69892,                0.61735,                0.30477,                 1.8067,                 1.1594,                 1.1159,             0.00046226,             0.00046226,             0.00046226
                     76,                 1.8304,                 1.2535,                  1.127,                0.54681,                0.69303,                 0.5996,                0.27973,                 1.8526,                 1.1675,                 1.1307,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.8877,                 1.3045,                 1.1236,                0.52926,                0.69919,                0.58703,                0.28202,                 1.8253,                 1.1781,                 1.1221,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.8029,                 1.2504,                  1.144,                0.53359,                0.69249,                0.58581,                0.28609,                 1.8195,                 1.1828,                 1.1208,             0.00041275,             0.00041275,             0.00041275
                     79,                 1.8499,                 1.2525,                 1.1321,                0.54193,                0.69145,                0.58327,                0.28299,                 1.8211,                 1.1881,                  1.127,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.8512,                 1.2711,                 1.1256,                0.54905,                0.70822,                0.59987,                 0.2791,                 1.8562,                 1.1678,                 1.1294,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.8267,                 1.2442,                 1.1157,                0.53589,                0.72204,                0.59404,                0.28337,                 1.8152,                 1.1622,                  1.116,             0.00036324,             0.00036324,             0.00036324
                     82,                 1.7934,                 1.2084,                 1.1068,                   0.53,                0.72019,                0.58855,                0.27435,                 1.8484,                 1.1773,                 1.1262,             0.00034674,             0.00034674,             0.00034674
                     83,                 1.8065,                 1.2283,                 1.1188,                0.55712,                0.71665,                0.60818,                0.29095,                 1.8332,                 1.1542,                 1.1255,             0.00033023,             0.00033023,             0.00033023
                     84,                 1.8103,                 1.2095,                 1.1197,                0.56628,                0.70707,                0.60878,                0.29529,                  1.816,                 1.1639,                 1.1218,             0.00031373,             0.00031373,             0.00031373
                     85,                 1.7744,                 1.1999,                 1.1153,                0.55103,                 0.6981,                0.58575,                0.27776,                 1.8445,                 1.1822,                  1.132,             0.00029723,             0.00029723,             0.00029723
                     86,                 1.8648,                 1.2266,                 1.1088,                0.54291,                0.69755,                0.58528,                0.26787,                 1.8869,                 1.1683,                 1.1402,             0.00028072,             0.00028072,             0.00028072
                     87,                 1.8235,                 1.2454,                 1.1063,                0.53742,                0.71024,                0.60475,                0.28935,                 1.8081,                 1.1352,                 1.1141,             0.00026422,             0.00026422,             0.00026422
                     88,                 1.8152,                 1.2029,                 1.1068,                0.55294,                0.72266,                0.61141,                0.29746,                 1.7732,                 1.1193,                 1.1021,             0.00024772,             0.00024772,             0.00024772
                     89,                 1.8033,                  1.247,                 1.1098,                0.55355,                0.72506,                0.60315,                0.28392,                  1.843,                 1.1425,                  1.122,             0.00023121,             0.00023121,             0.00023121
                     90,                 1.8443,                  1.201,                  1.105,                0.54244,                0.70927,                0.58378,                0.27123,                 1.8729,                 1.1642,                  1.134,             0.00021471,             0.00021471,             0.00021471
                     91,                  1.769,                  1.265,                 1.1521,                0.54979,                0.71308,                0.59352,                0.28814,                 1.7931,                 1.1517,                 1.1125,             0.00019821,             0.00019821,             0.00019821
                     92,                 1.7575,                 1.2839,                 1.1514,                0.55143,                0.70702,                0.59267,                0.29117,                 1.7793,                 1.1672,                 1.1069,              0.0001817,              0.0001817,              0.0001817
                     93,                 1.7103,                 1.2364,                 1.1266,                 0.5448,                0.70415,                0.58658,                0.28878,                  1.793,                 1.1874,                 1.1081,              0.0001652,              0.0001652,              0.0001652
                     94,                 1.7469,                 1.2759,                  1.151,                0.55053,                0.70873,                0.59232,                0.29356,                  1.788,                 1.1796,                  1.103,              0.0001487,              0.0001487,              0.0001487
                     95,                 1.7234,                 1.2101,                 1.1279,                0.56244,                0.71554,                0.61148,                0.30533,                 1.7609,                 1.1503,                 1.0929,             0.00013219,             0.00013219,             0.00013219
                     96,                 1.7377,                 1.2079,                 1.1339,                0.55709,                0.71541,                0.61546,                0.30908,                 1.7673,                 1.1403,                 1.0918,             0.00011569,             0.00011569,             0.00011569
                     97,                 1.7796,                 1.2545,                 1.1338,                0.54397,                0.72784,                0.61047,                0.30292,                 1.7761,                 1.1508,                 1.0927,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 1.7523,                 1.2399,                 1.1123,                0.54803,                0.72184,                0.61096,                0.30294,                 1.7712,                 1.1573,                 1.0904,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 1.7257,                 1.1978,                 1.1103,                0.55196,                0.71718,                0.60973,                 0.3019,                 1.7618,                 1.1583,                 1.0877,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                 1.7191,                 1.2326,                 1.1305,                0.54727,                0.72291,                0.60714,                0.30448,                 1.7462,                 1.1477,                 1.0843,             4.9677e-05,             4.9677e-05,             4.9677e-05
