                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  6.871,                 6.2424,                  4.217,                      0,                      0,                      0,                      0,                 7.0503,                 5.4533,                 4.1588,             0.00013336,             0.00013336,             0.00013336
                      2,                 6.8227,                 5.3318,                 4.0406,                      0,                      0,                      0,                      0,                 7.0497,                 5.4354,                 4.1536,             0.00028115,             0.00028115,             0.00028115
                      3,                 6.7318,                 4.7172,                 3.7085,                      0,                      0,                      0,                      0,                 7.0534,                 5.2571,                 4.1847,             0.00042655,             0.00042655,             0.00042655
                      4,                 6.2525,                 4.1645,                   3.55,                      0,                      0,                      0,                      0,                 7.0605,                 4.9821,                 4.2484,             0.00056959,             0.00056959,             0.00056959
                      5,                 5.5868,                 3.7492,                 3.2902,                      0,                      0,                      0,                      0,                 7.0667,                 5.5574,                 4.3203,             0.00071024,             0.00071024,             0.00071024
                      6,                 4.9227,                 3.3436,                 2.9353,                      0,                      0,                      0,                      0,                 7.0918,                 5.6273,                 4.6133,             0.00084852,             0.00084852,             0.00084852
                      7,                  4.267,                 2.9146,                 2.6136,                      0,                      0,                      0,                      0,                 7.1148,                 6.0668,                 4.9009,             0.00098443,             0.00098443,             0.00098443
                      8,                 4.0707,                 2.7696,                 2.3654,                      0,                      0,                      0,                      0,                 7.1275,                 7.9111,                 5.0878,               0.001118,               0.001118,               0.001118
                      9,                 3.8386,                 2.5876,                  2.168,                      0,                      0,                      0,                      0,                 7.1207,                 6.5731,                 4.9819,              0.0012491,              0.0012491,              0.0012491
                     10,                 3.5725,                  2.482,                 1.9906,                      0,                      0,                      0,                      0,                 7.1069,                 5.5507,                 4.7515,              0.0013779,              0.0013779,              0.0013779
                     11,                 3.5541,                   2.47,                 1.9286,                      0,                      0,                      0,                      0,                  7.106,                 5.5134,                 4.7523,              0.0015043,              0.0015043,              0.0015043
                     12,                 3.3041,                 2.3178,                 1.7585,                0.00736,                 0.0015,                0.00034,                0.00014,                  6.698,                 6.0784,                 4.1903,              0.0015218,              0.0015218,              0.0015218
                     13,                 3.2554,                 2.3329,                 1.7654,                0.03169,                 0.0032,                0.00119,                0.00037,                 5.9334,                 6.1456,                 3.6752,              0.0015218,              0.0015218,              0.0015218
                     14,                 3.2015,                 2.3408,                 1.7322,                0.10306,                0.04478,                0.02212,                0.00724,                 3.9893,                  2.734,                 2.0117,              0.0015086,              0.0015086,              0.0015086
                     15,                 3.0183,                 2.2599,                 1.6401,                0.12738,                0.06172,                0.03512,                0.01199,                 3.6821,                 2.5881,                 1.9177,              0.0014954,              0.0014954,              0.0014954
                     16,                 3.3584,                 2.2855,                  1.675,                 0.1493,                0.21969,                0.10418,                0.03802,                 3.0082,                 2.1859,                 1.6294,              0.0014822,              0.0014822,              0.0014822
                     17,                 2.9834,                 2.2125,                 1.6007,                0.17453,                0.20221,                0.10722,                0.03278,                 3.1087,                 2.1406,                 1.6937,               0.001469,               0.001469,               0.001469
                     18,                 2.7936,                 2.1554,                 1.5301,                0.67908,                0.17302,                0.16881,                 0.0577,                 2.7637,                 2.1539,                  1.536,              0.0014558,              0.0014558,              0.0014558
                     19,                 2.8043,                 2.1203,                 1.5017,                0.65325,                0.16851,                0.16633,                0.06005,                 2.7581,                 2.1505,                 1.5022,              0.0014426,              0.0014426,              0.0014426
                     20,                 2.7894,                 2.0787,                 1.4701,                0.21623,                0.45834,                0.30329,                0.12432,                 2.3779,                 1.8479,                 1.3869,              0.0014294,              0.0014294,              0.0014294
                     21,                 2.7788,                 2.0303,                 1.4883,                0.27532,                0.45562,                0.32328,                0.13055,                 2.3543,                  1.806,                 1.3821,              0.0014161,              0.0014161,              0.0014161
                     22,                 2.5528,                 1.9579,                 1.4359,                0.30932,                0.50056,                0.35865,                0.14777,                 2.2995,                 1.8025,                 1.3587,              0.0014029,              0.0014029,              0.0014029
                     23,                  2.609,                  1.988,                 1.4609,                0.24874,                0.48893,                0.33785,                 0.1363,                 2.2404,                  1.791,                 1.3445,              0.0013897,              0.0013897,              0.0013897
                     24,                 2.5962,                 1.9849,                 1.4296,                0.35209,                0.50007,                0.39547,                0.15248,                 2.2264,                 1.6754,                 1.3141,              0.0013765,              0.0013765,              0.0013765
                     25,                  2.499,                 1.8754,                 1.3907,                0.38356,                0.49985,                 0.4257,                0.17814,                 2.1867,                 1.6238,                 1.2887,              0.0013633,              0.0013633,              0.0013633
                     26,                 2.4415,                 1.8539,                 1.4223,                0.36575,                0.42329,                0.34473,                0.13614,                  2.299,                 1.7601,                 1.3108,              0.0013501,              0.0013501,              0.0013501
                     27,                 2.3704,                  1.914,                 1.3549,                 0.4379,                0.46207,                 0.3986,                0.16329,                 2.2981,                 1.6146,                 1.2972,              0.0013369,              0.0013369,              0.0013369
                     28,                 2.3732,                 1.7707,                 1.3431,                0.32579,                0.60567,                0.45089,                0.19489,                 2.1565,                 1.6152,                 1.2471,              0.0013237,              0.0013237,              0.0013237
                     29,                 2.3329,                 1.7134,                 1.2958,                0.45905,                 0.5315,                0.44001,                0.18046,                 2.4145,                  1.501,                  1.303,              0.0013105,              0.0013105,              0.0013105
                     30,                 2.2928,                 1.7119,                 1.3048,                0.45483,                0.46499,                 0.3973,                0.18052,                 2.1466,                 1.6513,                 1.2356,              0.0012973,              0.0012973,              0.0012973
                     31,                 2.2299,                 1.5931,                 1.2698,                0.40901,                0.45933,                0.39227,                0.16186,                 2.1494,                 1.5935,                  1.256,              0.0012841,              0.0012841,              0.0012841
                     32,                  2.222,                 1.6388,                 1.3177,                0.39021,                0.44136,                0.37446,                0.13783,                 2.3791,                 1.6204,                 1.2869,              0.0012709,              0.0012709,              0.0012709
                     33,                 2.3206,                 1.7404,                 1.3177,                0.44358,                0.47469,                0.37595,                0.16662,                 2.1067,                 1.8006,                 1.2085,              0.0012577,              0.0012577,              0.0012577
                     34,                 2.0556,                 1.5147,                  1.265,                0.50149,                0.56469,                0.48414,                0.21843,                 2.0951,                 1.3962,                 1.2162,              0.0012445,              0.0012445,              0.0012445
                     35,                 2.0583,                 1.5757,                 1.2797,                 0.4984,                0.56951,                0.50243,                0.21116,                 2.2895,                 1.4072,                 1.2707,              0.0012313,              0.0012313,              0.0012313
                     36,                 2.3083,                 1.5734,                 1.2541,                0.48727,                0.56329,                0.47403,                0.19619,                 2.1187,                 1.4723,                 1.2271,              0.0012181,              0.0012181,              0.0012181
                     37,                 2.0841,                 1.5111,                 1.2566,                0.41167,                0.51751,                0.42773,                0.18992,                 2.0489,                 1.4754,                 1.2173,              0.0012049,              0.0012049,              0.0012049
                     38,                 2.2097,                 1.4937,                 1.2542,                0.44671,                0.44987,                0.37819,                0.12988,                 2.3708,                 1.5133,                 1.3226,              0.0011917,              0.0011917,              0.0011917
                     39,                 2.1293,                  1.514,                 1.2203,                0.48002,                0.46668,                0.40466,                0.16154,                 2.1785,                 1.7286,                 1.2306,              0.0011785,              0.0011785,              0.0011785
                     40,                 2.1375,                   1.55,                 1.2395,                0.52545,                0.60258,                0.52489,                0.23087,                 2.0902,                 1.3838,                 1.2098,              0.0011653,              0.0011653,              0.0011653
                     41,                  2.108,                 1.4518,                 1.2084,                0.53201,                 0.6357,                 0.5486,                0.23225,                  2.089,                 1.3463,                 1.2094,              0.0011521,              0.0011521,              0.0011521
                     42,                 2.0907,                 1.4754,                  1.229,                0.44695,                 0.6178,                0.52974,                0.21507,                 2.2037,                 1.4162,                 1.2301,              0.0011389,              0.0011389,              0.0011389
                     43,                  2.083,                 1.4589,                 1.2174,                0.49409,                0.63427,                0.53221,                0.25191,                 1.9272,                 1.4276,                  1.154,              0.0011257,              0.0011257,              0.0011257
                     44,                 2.0875,                 1.4603,                 1.2603,                0.49942,                0.60969,                0.53295,                0.24757,                 1.9327,                 1.3912,                 1.1563,              0.0011125,              0.0011125,              0.0011125
                     45,                 2.0917,                 1.5218,                 1.2032,                0.43384,                0.50877,                0.40107,                0.15865,                 2.1631,                 1.5664,                 1.2215,              0.0010993,              0.0010993,              0.0010993
                     46,                 2.0158,                  1.433,                 1.2009,                0.49457,                0.56102,                0.46188,                  0.193,                 2.0444,                 1.4434,                 1.1969,              0.0010861,              0.0010861,              0.0010861
                     47,                 2.0109,                 1.3929,                 1.2208,                0.52108,                0.58544,                0.53371,                0.23475,                 2.0468,                 1.3098,                 1.1856,              0.0010729,              0.0010729,              0.0010729
                     48,                 2.1453,                 1.4283,                 1.2096,                0.46457,                0.58233,                0.49547,                 0.2304,                 1.9648,                  1.474,                 1.1666,              0.0010597,              0.0010597,              0.0010597
                     49,                 2.0446,                 1.3767,                 1.1862,                0.47047,                0.60206,                0.46781,                0.17438,                 2.1704,                 1.4161,                 1.2236,              0.0010465,              0.0010465,              0.0010465
                     50,                 2.0259,                 1.3907,                 1.1947,                0.52682,                0.63472,                0.53682,                0.25253,                 1.9016,                 1.3197,                 1.1513,              0.0010333,              0.0010333,              0.0010333
                     51,                 1.9963,                 1.3958,                 1.1879,                0.52273,                0.61542,                0.51577,                0.24679,                 1.8851,                 1.3707,                  1.149,              0.0010201,              0.0010201,              0.0010201
                     52,                 1.9769,                 1.3663,                 1.1872,                0.54311,                0.65061,                0.56441,                0.27135,                 1.8736,                 1.2717,                 1.1414,              0.0010069,              0.0010069,              0.0010069
                     53,                 1.9877,                 1.3923,                 1.1721,                0.46586,                0.63681,                0.54052,                0.24309,                 1.9338,                 1.3301,                 1.1614,             0.00099367,             0.00099367,             0.00099367
                     54,                 2.0028,                 1.3857,                 1.1573,                0.44762,                0.57239,                0.48224,                0.18163,                 2.3041,                 1.4137,                  1.251,             0.00098046,             0.00098046,             0.00098046
                     55,                 1.9246,                 1.3144,                 1.1658,                0.53365,                0.63008,                0.54518,                0.25011,                 2.0184,                 1.2829,                 1.1662,             0.00096726,             0.00096726,             0.00096726
                     56,                 2.0022,                 1.3896,                 1.1855,                 0.5528,                0.67646,                0.56569,                0.27646,                 1.8475,                 1.3226,                 1.1277,             0.00095406,             0.00095406,             0.00095406
                     57,                 1.9719,                 1.3193,                 1.1798,                0.52566,                0.65581,                0.53387,                0.22868,                 1.9565,                  1.378,                 1.1598,             0.00094085,             0.00094085,             0.00094085
                     58,                 1.9444,                 1.3924,                 1.1718,                   0.51,                0.65366,                0.53126,                0.24337,                 1.9006,                 1.2615,                 1.1496,             0.00092765,             0.00092765,             0.00092765
                     59,                 1.8749,                 1.3329,                 1.1721,                0.53248,                0.63573,                0.53858,                0.26053,                 1.8327,                 1.2367,                 1.1346,             0.00091445,             0.00091445,             0.00091445
                     60,                 1.9228,                 1.3126,                 1.1456,                0.54193,                0.67043,                0.56224,                0.25754,                 1.9678,                 1.3232,                 1.1556,             0.00090125,             0.00090125,             0.00090125
                     61,                  1.888,                 1.3592,                 1.1414,                0.52548,                0.67127,                0.57242,                0.27469,                 1.8763,                 1.3038,                 1.1239,             0.00088804,             0.00088804,             0.00088804
                     62,                 1.9025,                 1.3089,                 1.1635,                0.50573,                 0.6392,                0.56243,                0.27525,                 1.8409,                 1.2539,                 1.1183,             0.00087484,             0.00087484,             0.00087484
                     63,                 1.8939,                  1.345,                 1.1373,                0.52118,                0.61779,                0.55237,                0.26323,                 1.8826,                 1.2311,                  1.144,             0.00086164,             0.00086164,             0.00086164
                     64,                 1.9313,                 1.3351,                 1.1738,                0.52159,                0.62461,                0.51011,                 0.2276,                  1.979,                 1.3369,                 1.1704,             0.00084844,             0.00084844,             0.00084844
                     65,                    1.9,                 1.3042,                 1.1672,                0.51359,                0.60869,                0.50157,                0.23737,                 1.9181,                 1.3728,                 1.1558,             0.00083523,             0.00083523,             0.00083523
                     66,                 1.7946,                 1.2382,                 1.1282,                0.53675,                 0.6786,                 0.5935,                0.29173,                 1.8159,                 1.1902,                   1.12,             0.00082203,             0.00082203,             0.00082203
                     67,                 1.8703,                  1.328,                 1.1432,                0.51695,                0.67004,                0.58048,                0.27203,                 1.8606,                 1.2085,                 1.1254,             0.00080883,             0.00080883,             0.00080883
                     68,                 1.8689,                 1.2608,                 1.1298,                0.49587,                0.64428,                0.51019,                0.22404,                 1.9501,                 1.2737,                 1.1514,             0.00079563,             0.00079563,             0.00079563
                     69,                  1.828,                  1.253,                 1.1174,                0.54706,                0.66652,                0.55982,                0.26285,                 1.9001,                  1.247,                 1.1419,             0.00078242,             0.00078242,             0.00078242
                     70,                 1.8714,                 1.2527,                 1.1234,                0.54923,                0.69925,                0.58863,                0.28324,                 1.8442,                 1.2055,                 1.1268,             0.00076922,             0.00076922,             0.00076922
                     71,                 1.8551,                 1.2509,                 1.1016,                0.52368,                 0.6783,                0.56557,                 0.2661,                  1.885,                 1.1991,                 1.1426,             0.00075602,             0.00075602,             0.00075602
